File,api_summary,Gavin #1,Andrew #1,Gavin #2,Andrew #2,,
cloned/bugsnag-js/test/react-native/features/fixtures/rn0.68-hermes/android/app/src/main/java/com/reactnative/newarchitecture/MainApplicationReactNativeHost.java,This file is part of a React Native application using the New Architecture. It does not explicitly define any REST API endpoints.,,No,,Yes,,
cloned/bugsnag-js/packages/plugin-react-native-client-sync/client-sync.js,"This file is a wrapper for the Bugsnag library, providing additional features such as synchronization with native events and handling of user, context, and feature flag updates. However, it does not define any explicit REST API endpoints.",,No,,Yes,,
cloned/bugsnag-js/packages/electron-test-helpers/src/BrowserWindow.ts,"This file defines a set of classes and functions related to the Electron framework. It provides a way to create and manage browser windows, but does not define any REST API endpoints.",,No,,Yes,,
cloned/wazo-auth/wazo_auth/database/alembic/versions/ef31dc4a87f6_default_user_add_presence_update_event_.py,"This file is a part of the Wazo platform, which is a communication platform for businesses. It is used to manage user presence update events by adding an Access Control List (ACL) for these events. The ACL is used to control who can access these events based on policies.",,No,,Yes,,
cloned/data-act-broker-backend/tests/unit/dataactvalidator/test_a2_appropriations.py,"This Python file contains unit tests for a data validation system. It tests the calculation of TotalBudgetaryResources_CPE based on various factors including BudgetAuthorityAppropriatedAmount_CPE, BudgetAuthorityUnobligatedBalanceBroughtForward_FYB, AdjustmentsToUnobligatedBalanceBroughtForward_CPE, OtherBudgetaryResourcesAmount_CPE, and SF 133 Line 1902. The tests are organized into success and failure scenarios.",,No,,Yes,,
cloned/data-act-broker-backend/dataactcore/migrations/versions/73db7d2cc754_add_award_procurement.py,"This file defines a database migration script using Alembic, a database migration tool. It includes two upgrade and downgrade functions, each of which creates and drops a table named 'award_procurement'. The table has numerous columns, each representing a field in the 'award_procurement' data. The script also includes indexes for the 'submission_id' and 'job_id' fields.",,Yes,,Yes,,
cloned/ccpay-payment-app/api/src/test/java/uk/gov/hmcts/payment/api/domain/service/IdempotencyServiceImplTest.java,"This file contains JUnit tests for the IdempotencyServiceImpl class. It tests various methods of the class, including findTheRecordByIdempotencyKey, findTheRecordByRequestHashcode, filterRecordsWithAcceptableLiberataHttpResponse. These tests are used to verify the correctness of the implementation of the IdempotencyService interface.",,No,,Yes,,
cloned/saleor/saleor/tests/e2e/product/test_product_no_longer_on_promotion_when_promotion_is_removed.py,"This Python script is a set of end-to-end tests for a product promotion feature in a e-commerce platform. It tests the functionality of creating, retrieving, updating, and deleting promotions. It also tests the functionality of recalculating discounted prices for products.",,No,,Yes,,
cloned/saleor/saleor/tests/e2e/checkout/discounts/vouchers/test_checkout_unable_to_use_expired_voucher.py,"This Python script is part of a Django-based application, which includes functionalities for managing vouchers and checkouts. It provides functionalities for creating, updating, and managing checkouts, including applying vouchers and creating dummy payments. However, it does not define any explicit REST API endpoints.",,Yes,,Yes,,
cloned/saleor/saleor/core/db/tests/test_postgres_json_concatenate.py,"This Python file contains a set of tests for a Django application. The tests are written using pytest and are focused on the 'CheckoutMetadata' model and its 'metadata_storage' attribute. The tests cover various scenarios of updating the 'metadata' field of 'CheckoutMetadata' instances, including adding new keys, updating existing keys, adding multiple new keys, handling 'None' values, and empty dictionaries. The tests also cover the case where the same value is saved without any change, and the case where an existing key is updated to 'None'. The tests are designed to test the 'PostgresJsonConcatenate' expression, which is used to concatenate JSON objects.",,No,,Yes,,
cloned/saleor/saleor/graphql/product/mutations/product/product_media_delete.py,"This API provides the ability to delete a product media. It triggers events related to the product and media deletion. The API uses GraphQL, a query language for interacting with data from APIs. The API is part of a larger e-commerce system.",,Yes,,No,,
cloned/saleor/saleor/graphql/warehouse/mutations/warehouse_shipping_zone_assign.py,"This Python file defines a Django model and a mutation class for managing warehouse data. It includes operations for assigning shipping zones to warehouses, with validation checks to ensure the zones have common channels with the warehouse.",,Yes,,Yes,,
cloned/saleor/saleor/graphql/meta/mutations/base.py,"This Python file defines a set of GraphQL mutations related to metadata handling. It includes operations for managing metadata, private metadata, and permissions. The metadata is associated with various models such as Checkout, Order, and ShippingMethod. The file also includes utility functions for validating metadata instances and handling errors.",,Yes,,Yes,,
cloned/saleor/saleor/graphql/attribute/mutations/mixins.py,"This Python file defines a Django model for attributes, which are used to categorize products. It includes methods for cleaning attribute values, validating them, and saving them. It also includes methods for cleaning attribute settings and saving many-to-many relationships.",,No,,Yes,,
cloned/saleor/saleor/graphql/tax/mutations/tax_country_configuration_delete.py,This API provides the ability to delete all tax class rates for a specific country. It uses a GraphQL mutation to perform the operation. The country to delete is specified in the 'country_code' parameter.,,Yes,,No,,
cloned/daos/src/tests/ftest/util/dfuse_utils.py,"This file defines a set of Python classes related to DAOS and DFuse, which are used for managing and accessing distributed storage systems. It does not explicitly define any REST API endpoints.",,No,,Yes,,
cloned/daos/src/control/server/instance_storage.go,"This file defines the server package for a distributed analytics operation system (DAOS). It provides functionalities for managing storage, including mounting and formatting of SCM (Single-Chip Module) devices and control metadata. The system also provides functionalities for managing instance storage and retrieving SCM usage information.",,No,,Yes,,
cloned/daos/src/control/cmd/daos/container.go,"This Python script is a part of the DAOS (Data-At-Object-Scale) system. It provides a set of commands for managing and interacting with DAOS containers. It includes commands for creating, listing, destroying, querying, and managing container properties and attributes. It also includes commands for managing container snapshots and object integrity checks.",,No,,Yes,,
cloned/daos/src/control/vendor/github.com/desertbit/readline/utils_windows.go,"This file contains a set of utility functions for interacting with the console, primarily focused on Windows systems. It does not define any REST API endpoints.",,No,,Yes,,
cloned/daos/src/control/vendor/github.com/golang/protobuf/proto/proto.go,"This file defines functionality for handling protocol buffer messages. It provides marshaling and unmarshaling between a protobuf message and the binary wire format. It also provides functionalities for handling messages of the same type, comparing messages, and checking if a message is a message set.",,No,,Yes,,
cloned/daos/src/control/vendor/golang.org/x/sys/unix/zsysnum_linux_loong64.go,"This file defines a set of constants representing various system calls. These system calls are used in the Linux kernel for various operations such as file I/O, process management, and more.",,No,,Yes,,
cloned/daos/src/control/vendor/golang.org/x/net/http2/writesched.go,"This file defines the HTTP/2 write scheduler interface and related types. It includes interfaces for managing stream operations, frame writing requests, and a queue for managing write requests.",,No,,Yes,,
cloned/daos/src/control/vendor/google.golang.org/grpc/internal/credentials/spiffe.go,This file contains APIs for parsing SPIFFE ID. It uses TLS connection state and x509 certificates to parse the SPIFFE ID. It includes helper functions for parsing the SPIFFE ID from the state and certificate.,,Yes,,No,,
cloned/daos/src/control/vendor/google.golang.org/grpc/balancer/base/balancer.go,"This file defines the base components for a gRPC balancer. It includes functionality for managing connections, handling errors, and building a picker for selecting SubConns.",,No,,Yes,,
cloned/daos/src/control/vendor/google.golang.org/protobuf/internal/filetype/build.go,"This Python file defines a Builder struct and related types for working with Protobuf type descriptors. It provides functionality for constructing type descriptors from raw file descriptors and associated Go types, and for managing dependencies. It also provides functionality for building the output of the builder and resolving dependencies by index.",,No,,No,,
cloned/daos/src/control/vendor/google.golang.org/protobuf/types/known/durationpb/duration.pb.go,"This file defines the Duration message, which represents a signed, fixed-length span of time. It includes methods for converting to and from a time.Duration, checking validity, and JSON mapping.",,No,,Yes,,
cloned/daos/src/control/build/interop_test.go,"This file contains tests for the build package in the DAOS project. It tests the NewVersionedComponent and CheckCompatibility functions, which are used to manage and check the compatibility of different components in the build system. The tests are written using the testing package in Go. The tests cover a wide range of scenarios, including invalid inputs, version compatibility checks, and custom interop rules.",,No,,Yes,,
