File,api_summary,Gavin #1,Andrew #1,Gavin #2,Andrew #2
cloned/bugsnag-js/test/node/features/fixtures/restify/scenarios/app-disabled.js,"This API provides several endpoints for testing error handling in a Node.js application. It includes synchronous and asynchronous errors, as well as errors that are thrown and rejected. It also includes endpoints for returning specific error types.",Yes,,Yes,
cloned/wazo-auth/integration_tests/suite/test_user_group.py,"This file defines several REST API endpoints for managing user groups and their associated users. It includes endpoints for creating, reading, updating, and deleting user groups and their associated users. It also includes endpoints for sorting and paginating these groups and users.",Yes,,No,
cloned/wazo-auth/wazo_auth/plugins/http/user_policy/http.py,"This file defines several REST API endpoints for managing user policies. It includes endpoints for listing, adding, and removing policies for a specific user. The endpoints are secured with ACLs (Access Control Lists) which define the required permissions to access the endpoints.",Yes,,Yes,
cloned/data-act-broker-backend/dataactvalidator/app.py,"This file defines a Flask-based REST API for a data validation service. It handles file generation and validation requests via SQS messages. The API endpoints are defined in the 'run_app' function, which sets up a polling loop to receive and process messages from an SQS queue. The 'validator_process_file_generation' and 'validator_process_job' functions handle the processing of file generation and validation requests respectively.",Yes,,Yes,
cloned/data-act-broker-backend/dataactbroker/routes/login_routes.py,"This file defines several REST API endpoints related to user authentication and session management. It includes endpoints for login, proxy login, CAIA login, logout, and session check. These endpoints are used to manage user sessions and authenticate users.",Yes,,Yes,
cloned/ccpay-payment-app/api/src/main/java/uk/gov/hmcts/payment/api/controllers/PaymentAllocationController.java,This API provides endpoints for managing payment allocations. It allows for the creation of new payment allocations and retrieval of payment records. The API is designed to handle payment allocation creation and retrieval operations.,Yes,,Yes,
cloned/ccpay-payment-app/api/src/test/java/uk/gov/hmcts/payment/api/controllers/ServiceRequestReportControllerTest.java,"This API endpoint is used to generate and email a duplicate service request report. It accepts a date parameter in the format 'yyyy-MM-dd' and returns a report of duplicate service requests for that date. If the date parameter is not provided or is in an invalid format, the API will return an error message.",Yes,,No,
cloned/saleor/saleor/tests/e2e/orders/discounts/test_order_products_on_promotion_and_manual_order_discount.py,"This file contains a set of tests for a REST API. It tests the functionality of the API endpoints related to order creation, updating, and completion. It also tests the functionality of the API endpoints related to promotions and discounts.",Yes,,Yes,
cloned/saleor/saleor/graphql/product/mutations/digital_contents.py,"This file defines several REST API endpoints for managing digital content in a product variant. It includes endpoints for creating, updating, and deleting digital content, as well as generating URLs for digital content. The endpoints are used to manage the digital content of a product variant, which includes uploading, deleting, and updating the digital content. The URLs generated can be used to access the digital content.",Yes,,Yes,
cloned/saleor/saleor/graphql/webhook/tests/pregenerated_subscription/test_tax_configurations_with_pregenerated_payloads.py,This file contains tests for the tax calculation functionality of the Saleor e-commerce platform. It defines several test cases for different tax calculation strategies and price entry scenarios. The tests are designed to ensure that the tax calculation process is working correctly and that the results are as expected.,Yes,,Yes,
cloned/saleor/saleor/graphql/menu/tests/mutations/test_menu_delete.py,This file contains unit tests for a GraphQL API. It tests the deletion of a menu item in a Django application. The test includes making a GraphQL mutation to delete a menu item and then asserting that the item no longer exists.,Yes,,Yes,
cloned/saleor/saleor/graphql/order/schema.py,"This file defines a GraphQL API for managing orders and draft orders. It includes endpoints for creating, updating, and deleting orders and draft orders, as well as for managing order lines and discounts. It also includes endpoints for fulfilling orders and managing fulfillment. It also includes endpoints for managing order notes and refunds.",Yes,,Yes,
cloned/saleor/saleor/graphql/attribute/filters.py,"This file defines a set of REST API endpoints for managing attributes in a system. It includes endpoints for filtering, searching, and retrieving attributes. It also includes endpoints for managing attribute values.",Yes,,No,
cloned/saleor/saleor/graphql/tax/mutations/tax_class_update.py,"This file defines a REST API endpoint for updating tax classes. It allows for the creation, updating, and removal of tax class country rates. The API provides endpoints for updating tax class names and country rates.",Yes,,No,
cloned/saleor/saleor/graphql/discount/tests/queries/test_promotions.py,"This file contains tests for a GraphQL API that manages promotions. It tests the query for promotions, pagination, and permissions. The API endpoints are defined in the tests, which are testing the GraphQL API.",Yes,,Yes,
cloned/saleor/saleor/graphql/discount/tests/deprecated/test_voucher_update.py,This file contains unit tests for the voucher update functionality in a Django application. It tests the functionality of updating a voucher in the system using the Django testing client to send POST requests to a GraphQL endpoint.,Yes,,Yes,
cloned/saleor/saleor/plugins/webhook/tests/test_payment_webhook.py,"This file contains a set of tests for a webhook plugin in a Django application. It tests the functionality of the plugin, including getting payment gateways, running payment webhooks, and handling payment errors. It also includes tests for sending webhook requests synchronously and handling different types of responses.",Yes,,Yes,
cloned/website/frontend/src/app/_services/backend.service.ts,"This file defines a REST API service in Angular using the HttpClient module. The service provides endpoints for user management, relation management, content search, file management, and reputation accumulation. It also includes endpoints for user authorization and error handling.",Yes,,Yes,
cloned/daos/src/control/cmd/dmg/check.go,"This file defines a set of REST API endpoints for system check operations. It includes enabling, disabling, starting, stopping, querying, setting, getting, and repairing system checks. The endpoints are used to manage and monitor the system's health and integrity.",Yes,,No,
cloned/daos/src/control/vendor/github.com/Jille/raft-grpc-transport/grpcapi.go,"This file defines a gRPC API for a Raft transport system. It includes endpoints for appending entries, requesting votes, timing out, and installing snapshots. These endpoints are used to manage the state of a Raft cluster.",Yes,,Yes,
cloned/liberty-bikes/auth-service/src/main/java/org/libertybikes/auth/service/github/GitHubCallback.java,This file defines a REST API endpoint for GitHub authentication. It uses the GitHub OAuth API to authenticate users and retrieve their email address. The endpoint is used to authenticate users through GitHub and retrieve their email address. The endpoint is also used to create a JWT token for the authenticated user.,Yes,,Yes,
cloned/liberty-bikes/player-service/src/main/java/org/libertybikes/player/service/RankingService.java,"This service provides a REST API for ranking players in a game. It includes endpoints for initializing players, retrieving the top N players, and recording a game for a specific player. The service also includes a method for calculating rating changes based on game placement.",Yes,,Yes,
cloned/zksync/core/tests/ts-tests/tests/tester/forced-exit-requests.ts,,Yes,,Yes,
cloned/core-server/mockserver/tenants/tests/test_views.py,"This file defines a set of REST API endpoints for interacting with a zkSync network. It includes endpoints for getting the status of forced exit requests, submitting forced exit requests, and getting the full on-chain balance of a user's account.",Yes,,Yes,
